deporte_id,deporte
1,Basketball
2,Judo
3,Football
4,Tug-Of-War
5,Speed Skating
6,Cross Country Skiing
7,Athletics
8,Ice Hockey
9,Swimming
10,Badminton
11,Sailing
12,Biathlon
13,Gymnastics
14,Art Competitions
15,Alpine Skiing
16,Handball
17,Weightlifting
18,Wrestling
19,Luge
20,Water Polo
21,Hockey
22,Rowing
23,Bobsleigh
24,Fencing
25,Equestrianism
26,Shooting
27,Boxing
28,Taekwondo
29,Cycling
30,Diving
31,Canoeing
32,Tennis
33,Modern Pentathlon
34,Figure Skating
35,Golf
36,Softball
37,Archery
38,Volleyball
39,Synchronized Swimming
40,Table Tennis
41,Nordic Combined
42,Baseball
43,Rhythmic Gymnastics
44,Freestyle Skiing
45,Rugby Sevens
46,Trampolining
47,Beach Volleyball
48,Triathlon
49,Ski Jumping
50,Curling
51,Snowboarding
52,Rugby
53,Short Track Speed Skating
54,Skeleton
55,Lacrosse
56,Polo
57,Cricket
58,Racquets
59,Motorboating
60,Military Ski Patrol
61,Croquet
62,Jeu De Paume
63,Roque
64,Alpinism
65,Basque Pelota
66,Aeronautics
