deportista_id,nombre,genero,edad,altura,peso,equipo_id
1,A Dijiang,1,24,180,80,199
2,A Lamusi,1,23,170,60,199
3,Gunnar Nielsen Aaby,1,24,0,0,273
4,Edgar Lindenau Aabye,1,34,0,0,278
5,Christine Jacoba Aaftink,2,21,185,82,705
6,Per Knut Aaland,1,31,188,75,1096
7,John Aalberg,1,31,183,72,1096
8,Cornelia Cor Aalten Strannood ,2,18,168,0,705
9,Antti Sami Aalto,1,26,186,96,350
10,Einar Ferdinand Einari Aalto,1,26,0,0,350
11,Jorma Ilmari Aalto,1,22,182,76.5,350
12,Jyri Tapani Aalto,1,31,172,70,350
13,Minna Maarit Aalto,2,30,159,55.5,350
14,Pirjo Hannele Aalto Mattila ,2,32,171,65,350
15,Arvo Ossian Aaltonen,1,22,0,0,350
16,Juhamatti Tapio Aaltonen,1,28,184,85,350
17,Paavo Johannes Aaltonen,1,28,175,64,350
18,Timo Antero Aaltonen,1,31,189,130,350
19,Win Valdemar Aaltonen,1,54,0,0,350
20,Kjetil Andr Aamodt,1,20,176,85,742
21,Ragnhild Margrethe Aamodt,2,27,163,0,742
22,Andreea Aanei,2,22,170,125,861
23,Fritz Aanes,1,22,187,89,742
24,Nils Egil Aaness,1,24,0,0,742
25,Alf Lied Aanning,1,24,0,0,742
26,Agnes Erika Aanonsen Eyde ,2,17,169,65,742
27,Johan Aantjes,1,26,0,0,705
28,JanErik Aarberg,1,43,170,77,742
29,Willemien Aardenburg,2,22,0,0,705
30,Pepijn Aardewijn,1,26,189,72,705
31,Evald rma rman ,1,24,174,70,331
32,Olav Augunson Aarnes,1,23,0,0,742
33,Mika Lauri Aarnikka,1,24,187,76,350
34,Jamale Djamel Aarrass Ahrass ,1,30,187,76,362
35,Dagfinn Sverre Aarskog,1,24,190,98,742
36,Stefan Remco Aartsen,1,21,194,78,705
37,Ann Kristin Aarnes,2,23,182,64,742
38,Karl Jan Aas,1,20,0,0,742
39,Lars Thorlaksn Aas,1,33,0,0,742
40,Roald Edgar Aas,1,23,0,0,742
41,Rolf Aas,1,28,0,0,742
42,Thomas Valentin Aas,1,25,0,0,1027
43,Morten Gjerdrum Aasen,1,34,185,75,742
44,Meelis Aasme,1,25,182,73,331
45,Hakon Aasns,1,41,0,0,742
46,Hans Aasns,1,33,194,93,742
47,Erling Rudolf Aastad,1,22,177,74,742
48,Abdelhak Aatakni,1,24,0,64,683
49,Moonika Aava,2,24,168,65,331
50,Arvi Aavik,1,22,185,106,331
51,Nstor Abad Sanjun,1,23,167,64,982
52,Patrick Abada,1,22,189,80,362
53,Talaat Abada,1,24,172,58,308
54,Mohamed Jamshid Abadi,1,0,0,0,496
55,Antonio Abadia Beci,1,26,170,65,982
56,Ren Abadie,1,21,0,0,362
57,Borislav Abadzhiev,1,24,176,66,154
58,Georgi Abadzhiev,1,0,0,0,154
59,Ivan Nikolov Abadzhiev,1,24,164,71,154
60,Mikhail Abadzhiev,1,24,172,75,154
61,Stefan Abadzhiev,1,26,175,72,154
62,Giovanni Abagnale,1,21,198,90,507
63,Jos Luis Abajo Gmez,1,30,194,87,982
64,M Bairo Abakar,1,31,0,0,191
65,Patimat Abakarova,2,21,165,49,74
66,Mohamed Abakkar,1,0,156,48,1003
67,Mariya Vasilyevna Abakumova Tarabina,2,22,179,80,874
68,Pablo Martn Abal,1,23,178,76,45
69,Tamara Abalde Daz,2,19,185,72,982
70,Jess Iory Aball Martnez,1,26,167,65,249
71,Juan Antonio Aball Delgado,1,27,172,82,249
72,Aleksey Aleksandrovich Abalmasov,1,24,180,83,93
73,Luc Abalo,1,23,182,86,362
74,Mara Laura Abalo,2,30,182,73,45
75,Giorgos Abalof,1,22,178,70,419
76,Jouan Patrice Abanda Etong,1,22,185,82,172
77,Antoine Abang,1,27,166,75,172
78,Salim Abanoz,1,26,0,0,1071
79,Carlos Abarca Gonzlez,1,23,0,0,198
80,Jos Mara Abarca Plotas,1,22,186,83,982
81,Georgios Abaris,1,22,190,77,419
82,Enrique Abaroa Martnez,1,26,183,75,656
83,Carlos Arturo Abarza Chavez,1,22,0,0,198
84,Stephen Anthony Abas,1,26,165,55,1096
85,Alejandro Abascal Garca,1,24,181,82,982
86,Jos Manuel Abascal Gmez,1,22,182,67,982
87,Rost om Omeris dze Abashidze,1,29,188,97,978
88,Nunu Dzhansuhivna Abashydze Myslaieva ,2,25,168,105,978
89,Rodrigo Abasolo,1,21,0,0,198
90,Tamila Rashidovna Abasova,2,21,163,60,874
91,Emanuele Abate,1,27,190,80,507
92,Ignazio Abate,1,21,180,73,507
93,Jol Marc Abati,1,34,190,85,362
94,Ral Abatte,1,38,0,0,198
95,Georgia Abatzidou,2,35,155,43,419
96,Carlos Rodolfo Abaunza Balladares,1,18,168,60,720
97,Carlos Alberto Abaunza,1,16,180,70,720
98,Hctor Abaunza,1,30,169,75,656
99,Pter Abay,1,30,181,79,477
100,Oszkr AbayNemes,1,22,0,0,477
101,Adeyemi Abayomi,1,25,170,51,722
102,Sayed Fahmy Abaza,1,0,0,0,308
103,Silvano Abba,1,25,0,0,507
104,Gana Abba Kimet,1,26,0,0,191
105,Ilyas Abbadi,1,19,175,75,15
106,Agostino Abbagnale,1,22,188,96,507
107,Carmine Abbagnale,1,22,182,90,507
108,Giuseppe Abbagnale,1,20,187,97,507
109,Abdul Latif AlSayed Abbas Youssef Hashem,1,23,176,64,556
110,Abubakar Abbas Abbas,1,20,175,66,81
111,Aqarab Abbas,1,22,190,88,770
112,Aziz Abbas,1,21,169,67,497
113,Bassim Abbas Kati AlOgaili,1,22,175,80,497
114,Essa Abbas Faleh Hashem,1,20,160,65,556
115,Ghulam Abbas,1,24,181,74,770
116,Hosni Mohamed Abbas,1,28,0,60,1095
117,Maher Abbas,1,22,178,78,576
118,Mahmoud Abbas,1,22,165,65,308
119,Mohamed Fakhry Rifaat Abbas,1,19,0,0,308
120,Mohammed Abbas Sabih,1,26,170,70,497
121,Muhammad Abbas,1,23,168,55,770
122,Nader Sufyan Abbas,1,28,173,77,831
123,Sohail Abbas,1,25,178,80,770
124,Youssef Mohamed Abbas,1,31,0,0,308
125,Zulkifli Abbas,1,28,170,62,619
126,Forough Abbasi,2,20,164,58,496
127,Shakeel Abbasi,1,20,165,60,770
128,Soulmaz Abbasi Azad,2,28,173,60,496
129,Ruslan Abbasov,1,22,181,74,74
130,Tural Abbasov,1,18,182,76,74
131,Tran Abbasova,2,33,159,53,74
132,Simona Abbate,2,28,171,64,507
133,Franz Abb,1,0,0,0,399
134,Christian Abbiati,1,23,192,90,507
135,Lois Abbingh,2,23,178,72,705
136,Alessandro Abbio,1,29,195,85,507
137,Giordano Giulio Abbondati,1,15,175,64,507
138,Salwan Jasim Abbood Abbood,1,24,180,104,497
139,George Ioannis Abbot,1,0,0,0,1043
140,William Bill Abbott Jr.,1,42,172,80,174
141,Clare Abbott,2,30,167,58,498
142,David Dave Abbott,1,26,183,75,1096
143,Desmond Des Abbott,1,21,184,87,66
144,Geoffrey Grant Abbott,1,23,179,80,967
145,Jeremy Abbott,1,24,175,70,1096
146,Jeremy Abbott,1,19,179,71,174
147,Joanne Abbott,2,41,160,57,174
148,Kathryn Katie Abbott,2,21,164,63,174
149,Mara Katherine Abbott,2,30,163,52,1096
150,Margaret Ives Abbott Dunne ,2,23,0,0,1096
151,Mary Perkins Ives Abbott Perkins ,2,42,0,0,1096
152,Matt Abbott,1,34,185,91,174
153,Monica Cecilia Abbott,2,23,191,88,1096
154,Khadija Abbouda,2,40,165,57,683
155,Mohamed Ibrahim Abd ElFatah Mohamed,1,22,185,98,308
156,Mahmoud Abd ElKader,1,23,195,94,308
157,Mohamed Ibrahim Abd ElSalam,1,22,192,83,308
158,Noha Abd Rabo,2,21,0,0,308
159,Reem Wa il Abdalazem Abdalazem ElBossaty,2,15,167,60,308
160,Ali Abdalla Afringi,1,25,163,57,322
161,Hossam Abdalla,1,28,203,97,308
162,Hosam Abdallah,1,25,0,0,308
163,Ismail Abdallah,1,0,0,0,1095
164,Maged Abdallah,1,22,0,0,308
165,Nia Nicole Abdallah,2,20,175,56,1096
166,Omari Abdallah,1,21,168,57,1033
167,Ould Lamine Abdallah,1,0,0,0,362
168,Younis Abdallah Rabee,1,23,169,68,556
169,Raida Abdallah Bader,2,19,158,49,526
170,Maha Abdalsalam Gouda,2,18,172,61,308
171,Mahmoud Abdel Aziz,1,25,174,70,308
172,Mohamed Abdel Ellah,1,32,168,68,308
173,Mohamed Abdel Fatah,1,0,170,69,1003
174,Ali Mohamed Badawi Abdel Fattah Badawi,1,19,0,0,1095
175,Abdelgani Hassan Abdel Fattah,1,31,0,0,308
176,Mahmoud Atter Abdel Fattah,1,0,0,0,1095
177,Mohamed Abdel Fattah,1,23,174,69,308
178,Sayed Abdel Gadir,1,23,180,56,1003
179,Ibrahim Saad Abdel Galil,1,0,176,73,1003
180,Heba Abdel Gawad,2,18,154,48,308
181,Sara Abdel Gawad,2,18,153,46,308
182,Gamal Amin Abdel Ghani,1,29,0,0,308
183,Abdel Sattar Abdel Hadj,1,0,0,0,1095
184,Ragy Abdel Hady,1,30,186,100,308
185,Osman Abdel Hafeez,1,31,0,0,308
186,Mohamed Abdel Hafiz,1,0,0,0,1095
187,Moustafa Ali Abdel Halim,1,32,152,52,308
188,Mohamed Abdel Hamed,1,24,193,82,308
189,Hwad Ibrahim Abdel Hamid Lumomba,1,0,162,57,1003
190,Ibrahim Abdel Hamid,1,0,0,0,308
191,Tamer Mohamed Abdel Hamid,1,20,0,0,308
192,Ahmed ElSayed Abdel Hamid Mobarak,1,25,189,85,308
193,Dorri Abdel Kader Said,1,21,0,0,308
194,Moustafa Mounib Abdel Kader,1,0,176,67,1095
195,Mohamed Ali Abdel Kerim,1,24,0,81,308
196,Mohamed Abdel Khaled,1,24,183,76,1070
197,Abdel Latif Abdel Latif,1,28,172,68,308
198,Walid Abdel Maksoud,1,29,0,0,308
199,Amir Abdel Meguid,1,23,178,67,308
200,Mohamed Abdel Mohamed,1,24,0,0,308
201,Karim Abdel Mohsen,1,25,188,92,308
202,Awad Abdel Nabi Awad,1,19,198,80,308
203,Ahmed Abdel Naeim,1,23,197,87,308
204,Moustafa Abdel Naser,1,21,176,74,587
205,Ali Abdel Radi,1,24,0,0,308
206,Amin Abdel Rahman,1,18,0,0,1095
207,Mohamed Fathallah Abdel Rahman,1,21,0,0,308
208,Fathi Ali Abdel Rahman,1,20,0,0,308
209,Ibrahim Abdel Rahman,1,0,0,0,1095
210,Khaled Abdel Rahman,1,27,188,79,308
211,Sameh Abdel Rahman,1,16,0,0,1095
212,Yasser Abdel Rahman Sakr,1,30,180,120,308
213,Samy Abdel Razek,1,28,170,60,308
214,Mohamed Youssef Abdel Razik,1,21,0,0,308
215,Ibrahim Ahmed Abdel Rehim,1,21,190,83,308
216,Kamal Abdel Rehim,1,26,190,95,308
217,Reskalla Mohamed Abdel Rehim,1,22,165,48,308
218,Ahmed Ali Abdel Samad,1,27,195,95,308
219,Ali Abdel Sami,1,28,0,0,308
220,Mohamed Abdel Sami,1,0,0,0,1095
221,Sameh Abdel Waress Muhammad,1,24,0,0,308
222,Mohamed Said Abdel Wehab,1,22,157,48,308
223,Mahmoud AbdelAal,1,19,0,0,308
224,Mohamed AbdelEl,1,0,0,0,308
225,Shaimaa AbdelLatifHashad,2,23,165,57,308
226,Sanad Bushara AbdelNadif,1,0,0,0,1003
227,Ahmed Abdelaal,1,27,188,89,308
228,Mahmoud Abdelaal,1,24,176,60,308
229,Mohamed Ali Abdelaal,1,26,175,81,308
230,Moustafa Abdelal,1,0,0,0,308
231,Mahmod Abdelaly,1,41,0,0,308
232,Ibrahim Ramadan Ibrahim Abdelbaki,1,24,173,77,308
233,Aziza Abdelfattah,2,17,159,51,308
234,Abdalla Abdelgadir ElSheikh,1,21,170,58,1003
235,Magdi Abdelghani Sayed Ahmed,1,25,0,0,308
236,Ragab Abdelhay Saad Abdelrazek Abdallah,1,21,170,94,308
237,Ben Ahmed Abdelkrim,1,20,0,0,362
238,Mohamed Abdellah,1,36,170,70,308
239,Ayoub Abdellaoui,1,23,184,68,15
240,Leila Abdelmoez,2,19,160,46,308
241,Sayed Abdelmonem Sayed Hamed,1,23,170,60,308
242,Ahmed Abdelrahman,1,20,165,60,308
243,Ihab Abdelrahman ElSayed Abdelrahman,1,23,194,96,308
244,Raouf Abdelraouf,1,22,167,63,308
245,Abouelfetoh Abdelrazek,1,21,0,0,308
246,Mamdouh Abdelrehim,1,26,207,90,308
247,ElHachemi Abdenouz,1,24,170,63,15
248,Rda Abdenouz,1,19,170,63,15
249,Mouni Abderrahim,2,22,173,60,15
250,Saeid Morad Abdevali,1,22,170,80,496
251,Bashir Abdi,1,27,176,56,96
252,Youcef Abdi,1,30,178,66,66
253,Jamal Abdi Hassan Abdullah,1,19,177,65,831
254,Talal Omar Abdillahi,1,21,170,57,287
255,Mahmoud Ahmed Abdin,1,21,0,0,308
256,Abdihakim Abdi Abdirahman,1,23,178,61,1096
257,Ali Abdo,1,19,169,74,66
258,Hamza Abdo,1,17,0,0,772
259,Reema Abdo,2,21,173,59,174
