67787,Lee BongJu,1,27,167,56,970
67788,Lee BuTi,1,23,164,54,203
67789,Anthony N. Buddy Lee,1,34,172,62,1096
67790,Alfred A. Butch Lee Porter,1,19,186,80,825
67791,Lee ByeongGu,1,22,175,68,970
67792,Lee ByeongGyu,1,21,185,82,970
67793,Lee ByeongIn,2,20,174,69,970
67794,Lee ByeongNam,1,24,175,75,970
67795,Lee ByeongYong,1,29,197,98,970
67796,Kar Wai Calvin Lee,1,29,172,68,470
67797,Lee ChaeOn,1,25,188,84,970
67798,Lee ChaeWon,2,20,154,49,970
67799,Lee Chak Men,1,0,183,0,929
67800,Lee ChanDong,1,23,183,83,970
67801,Lee ChangGil,1,19,177,60,970
67802,Lee ChangHa,2,15,0,0,970
67803,Lee ChangHun,1,21,170,62,970
67804,Lee ChangHwan,1,26,178,78,970
67805,Lee ChangMin,1,22,178,74,970
67806,Lee ChangSeon,1,20,168,70,970
67807,Lee ChangWu,1,21,187,87,970
67808,Lee ChangYong,1,16,174,60,970
67809,Cheltzie Lee,2,16,154,50,66
67810,Lee ChenChang,1,21,180,80,203
67811,Lee ChenChu,1,24,165,54,203
67812,Lee ChenTan,1,22,0,0,204
67813,Lee CheolSeung,1,20,172,64,971
67814,Lee CheonSu,1,19,175,65,970
67815,Lee ChihFeng,1,20,185,85,203
67816,Lee ChihKai,1,20,170,65,203
67817,Lee ChiuHsia,2,21,164,56,203
67818,Lee Chong Wei,1,21,170,68,619
67819,Lee ChongHui,1,28,182,74,970
67820,Lee ChuenGun,1,21,177,64,970
67821,Lee ChunHeon,1,24,184,75,970
67822,Lee ChunPyo,1,25,184,82,970
67823,Lee ChunSik,1,23,170,78,970
67824,Lee Chung Man,1,20,169,55,470
67825,Lee ChungHui,1,23,190,85,970
67826,Lee ChungPing,1,22,180,70,203
67827,Lee ChungYong,1,20,180,61,970
67828,Lee DaHye,2,17,170,52,970
67829,Lee DaSeul,2,19,159,47,970
67830,Lee DaeHo,1,26,192,120,970
67831,Lee DaeHun,1,20,183,70,970
67832,Lee DaeMyeong,1,19,182,78,970
67833,Lee DaeRo,1,24,170,58,970
67834,Daniel Lee,1,18,190,74,989
67835,Chi Wo Daniel Lee,1,27,172,68,470
67836,JinMyung Danny Lee,1,26,183,0,716
67837,Daniel Danny Lee,1,20,154,51,413
67838,David Lee,1,36,188,116,174
67839,David Cameron Lee,1,26,203,105,1096
67840,Lee DeokBun,2,18,149,49,970
67841,Lee DoHui,2,17,165,61,970
67842,Lee DongGuk,1,21,185,80,970
67843,Lee DongKeun,1,25,183,78,970
67844,Lee DongSu,1,26,182,73,972
67845,Lee DongUk,1,22,0,0,970
67846,Donna Lee Chung ,2,28,160,60,1096
67847,Lee DuHaeng,1,30,180,64,970
67848,Lee DuYeon,1,25,182,72,970
67849,Edward Lee,1,0,0,0,199
67850,Lee EonJu,2,23,174,60,970
67851,Eric George Lee,1,25,0,0,413
67852,Lee EunBi,2,21,163,58,970
67853,Lee EunByeol,2,18,154,46,970
67854,Lee EunCheol,1,17,178,65,970
67855,Lee EunGyeong,2,20,0,0,970
67856,Lee EunGyeong,2,19,0,0,970
67857,Lee EunGyeong,2,23,174,62,970
67858,Lee EunHee,2,16,0,0,970
67859,Lee EunHui,2,25,165,52,970
