evento_id,evento,deporte_id
1,Basketball Men's Basketball,1
2,Judo Men's Extra-Lightweight,2
3,Football Men's Football,3
4,Tug-Of-War Men's Tug-Of-War,4
5,Speed Skating Women's 500 metres,5
6,"Speed Skating Women's 1,000 metres",5
7,Cross Country Skiing Men's 10 kilometres,6
8,Cross Country Skiing Men's 50 kilometres,6
9,Cross Country Skiing Men's 10/15 kilometres Pursuit,6
10,Cross Country Skiing Men's 4 x 10 kilometres Relay,6
11,Cross Country Skiing Men's 30 kilometres,6
12,Athletics Women's 100 metres,7
13,Athletics Women's 4 x 100 metres Relay,7
14,Ice Hockey Men's Ice Hockey,8
15,Swimming Men's 400 metres Freestyle,9
16,Badminton Men's Singles,10
17,Sailing Women's Windsurfer,11
18,Biathlon Women's 7.5 kilometres Sprint,12
19,Swimming Men's 200 metres Breaststroke,9
20,Swimming Men's 400 metres Breaststroke,9
21,Gymnastics Men's Individual All-Around,13
22,Gymnastics Men's Team All-Around,13
23,Gymnastics Men's Floor Exercise,13
24,Gymnastics Men's Horse Vault,13
25,Gymnastics Men's Parallel Bars,13
26,Gymnastics Men's Horizontal Bar,13
27,Gymnastics Men's Rings,13
28,Gymnastics Men's Pommelled Horse,13
29,Athletics Men's Shot Put,7
30,"Art Competitions Mixed Sculpturing, Unknown Event",14
31,Alpine Skiing Men's Downhill,15
32,Alpine Skiing Men's Super G,15
33,Alpine Skiing Men's Giant Slalom,15
34,Alpine Skiing Men's Slalom,15
35,Alpine Skiing Men's Combined,15
36,Handball Women's Handball,16
37,Weightlifting Women's Super-Heavyweight,17
38,"Wrestling Men's Light-Heavyweight, Greco-Roman",18
39,Speed Skating Men's 500 metres,5
40,"Speed Skating Men's 1,500 metres",5
41,"Gymnastics Men's Team All-Around, Free System",13
42,Luge Women's Singles,19
43,Water Polo Men's Water Polo,20
44,Sailing Mixed Three Person Keelboat,11
45,Hockey Women's Hockey,21
46,Rowing Men's Lightweight Double Sculls,22
47,Athletics Men's Pole Vault,7
48,Athletics Men's High Jump,7
49,Sailing Men's Two Person Dinghy,11
50,"Athletics Men's 1,500 metres",7
51,Bobsleigh Men's Four,23
52,Swimming Men's 100 metres Butterfly,9
53,Swimming Men's 200 metres Butterfly,9
54,Swimming Men's 4 x 100 metres Medley Relay,9
55,Football Women's Football,3
56,"Fencing Men's Foil, Individual",24
57,"Fencing Men's epee, Individual",24
58,"Fencing Men's epee, Team",24
59,"Speed Skating Men's 5,000 metres",5
60,"Speed Skating Men's 10,000 metres",5
61,Sailing Mixed 8 metres,11
62,"Equestrianism Mixed Jumping, Individual",25
63,Cross Country Skiing Men's 15 kilometres,6
64,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",26
65,"Shooting Men's Rapid-Fire Pistol, 25 metres",26
66,Shooting Men's Trap,26
67,Athletics Men's 4 x 100 metres Relay,7
68,Athletics Men's Long Jump,7
69,Boxing Men's Light-Welterweight,27
70,Athletics Women's Javelin Throw,7
71,"Wrestling Men's Heavyweight, Freestyle",18
72,Taekwondo Men's Flyweight,28
73,Boxing Men's Heavyweight,27
74,"Athletics Men's 5,000 metres",7
75,"Cycling Men's Road Race, Individual",29
76,"Cycling Men's Road Race, Team",29
77,Weightlifting Men's Lightweight,17
78,Weightlifting Men's Middleweight,17
79,Rowing Men's Coxless Pairs,22
80,Judo Men's Half-Middleweight,2
81,Taekwondo Women's Flyweight,28
82,Boxing Men's Flyweight,27
83,Basketball Women's Basketball,1
84,Diving Men's Platform,30
85,"Canoeing Men's Canadian Doubles, 500 metres",31
86,"Canoeing Men's Canadian Doubles, 1,000 metres",31
87,"Canoeing Men's Kayak Fours, 1,000 metres",31
88,Handball Men's Handball,16
89,Rowing Women's Coxless Pairs,22
90,Boxing Men's Middleweight,27
91,Judo Men's Lightweight,2
92,Boxing Men's Featherweight,27
93,Tennis Men's Doubles,32
94,Shooting Mixed Skeet,26
95,"Wrestling Men's Featherweight, Freestyle",18
96,Sailing Mixed Two Person Heavyweight Dinghy,11
97,Athletics Women's Shot Put,7
98,Rowing Men's Coxed Eights,22
