,nombre_juego,annio,temporada,ciudad
1,1896 Verano,1896,Verano,Athina
2,1900 Verano,1900,Verano,Paris
3,1904 Verano,1904,Verano,St. Louis
4,1906 Verano,1906,Verano,Athina
5,1908 Verano,1908,Verano,London
6,1912 Verano,1912,Verano,Stockholm
7,1920 Verano,1920,Verano,Antwerpen
8,1924 Invierno,1924,Invierno,Chamonix
9,1924 Verano,1924,Verano,Paris
10,1928 Invierno,1928,Invierno,Sankt Moritz
11,1928 Verano,1928,Verano,Amsterdam
12,1932 Invierno,1932,Invierno,Lake Placid
13,1932 Verano,1932,Verano,Los Angeles
14,1936 Invierno,1936,Invierno,Garmisch-Partenkirchen
15,1936 Verano,1936,Verano,Berlin
16,1948 Invierno,1948,Invierno,Sankt Moritz
17,1948 Verano,1948,Verano,London
18,1952 Invierno,1952,Invierno,Oslo
19,1952 Verano,1952,Verano,Helsinki
20,1956 Invierno,1956,Invierno,Cortina d'Ampezzo
21,1956 Verano,1956,Verano,Melbourne
22,1960 Invierno,1960,Invierno,Squaw Valley
23,1960 Verano,1960,Verano,Roma
24,1964 Invierno,1964,Invierno,Innsbruck
25,1964 Verano,1964,Verano,Tokyo
26,1968 Invierno,1968,Invierno,Grenoble
27,1968 Verano,1968,Verano,Mexico City
28,1972 Invierno,1972,Invierno,Sapporo
29,1972 Verano,1972,Verano,Munich
30,1976 Invierno,1976,Invierno,Innsbruck
31,1976 Verano,1976,Verano,Montreal
32,1980 Invierno,1980,Invierno,Lake Placid
33,1980 Verano,1980,Verano,Moskva
34,1984 Invierno,1984,Invierno,Sarajevo
35,1984 Verano,1984,Verano,Los Angeles
36,1988 Invierno,1988,Invierno,Calgary
37,1988 Verano,1988,Verano,Seoul
38,1992 Invierno,1992,Invierno,Albertville
39,1992 Verano,1992,Verano,Barcelona
40,1994 Invierno,1994,Invierno,Lillehammer
41,1996 Verano,1996,Verano,Atlanta
42,1998 Invierno,1998,Invierno,Nagano
43,2000 Verano,2000,Verano,Sydney
44,2002 Invierno,2002,Invierno,Salt Lake City
45,2004 Verano,2004,Verano,Athina
46,2006 Invierno,2006,Invierno,Torino
47,2008 Verano,2008,Verano,Beijing
48,2010 Invierno,2010,Invierno,Vancouver
49,2012 Verano,2012,Verano,London
50,2014 Invierno,2014,Invierno,Sochi
51,2016 Verano,2016,Verano,Rio de Janeiro
